,store,sido,gungu,store_address
0,가락2호,서울,송파구,서울 송파구 가락동 75-7
1,가산디지털,서울,금천구,서울 금천구 가산동 371-6 가산비지니스센터 2층
2,가양,서울,강서구,서울 강서구 등촌동 75-1
3,강서구청,서울,강서구,서울 강서구 화곡6동 987-7
4,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔
5,개봉1호,서울,구로구,서울 구로구 개봉동 403-159
6,개포1호,서울,강남구,서울 강남구 개포동 1229-18
7,거여가락1호,서울,송파구,서울 송파구 가락동 180-9
8,건대,서울,광진구,서울 광진구 화양동 9-18
9,경희대,서울,동대문구,서울 동대문구 회기동 42-16
10,고덕1호,서울,강동구,서울 강동구 고덕동 650-1
11,고척1호,서울,구로구,서울 구로구 개봉1동 126-4
12,공릉1호,서울,노원구,서울 노원구 공릉동 338-6
13,공릉2호,서울,노원구,서울 노원구 공릉동 461-1
14,광장,서울,광진구,서울 광진구 광장동 530-13
15,구로2호,서울,구로구,서울 구로구 구로동 74-30
16,구로디지털,서울,구로구,서울 구로구 구로동 826-1
17,구산역,서울,은평구,서울 은평구 갈현2동 464-14
18,구의2호,서울,광진구,서울 광진구 구의동 229-43
19,금호역,서울,성동구,서울 성동구 금호동4가 1380
20,개포1호,서울,강남구,서울 강남구 개포동 1229-18
21,논현1호(서울),서울,강남구,서울 강남구 논현동 164-16
22,대치1호,서울,강남구,서울 강남구 대치동936
23,대치2호,서울,강남구,서울 강남구 대치동 990번지 삼성상가 113호 1/2
24,삼성1호,서울,강남구,서울 강남구 삼성동 44-18
25,세곡,서울,강남구,서울 강남구 자곡동 611
26,압구정신사,서울,강남구,서울 강남구 신사동 640-5 대성빌딩 1층 1호
27,역삼1호,서울,강남구,서울 강남구 역삼동 837-15
28,일원본동,서울,강남구,서울 강남구 수서동 747 삼성아파트 상가 104호
29,청담역,서울,강남구,서울 강남구 청담동 65 진흥아파트상가
30,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔
31,고덕1호,서울,강동구,서울 강동구 고덕동 650-1
32,길1호,서울,강동구,서울 강동구 길동 347-31
